analysis_id,72w56mtugg339ok
parameter_id,IMPC_HEM_008_001
mouse_life_stage,E18.5
parameter_name,Platelet count
gene_accession_id,MGI:2685277
pvalue,0.4491822
gene_symbol,Zyg11b
mouse_strain,C57BL
