parameter_name,Center average speed
gene_symbol,Ift74
analysis_id,a9401lr8737egu5
pvalue,0.2492838
gene_accession_id,MGI:1914944
parameter_id,HRWLLA_OFD_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
