analysis_id,9s14z7l0887ws23
mouse_life_stage,Early adult
pvalue,0.3402544
gene_symbol,Ddx27
parameter_id,HMGULA_CBC_003_001
mouse_strain,C57BL
parameter_name,Chloride
gene_accession_id,MGI:2385884
