analysis_id,b2037h513x5j965
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
mouse_strain,C57BL
pvalue,0.9411443
gene_symbol,Cpa3
parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
