analysis_id,cmd41tds7pm42wj
mouse_strain,C57BL
pvalue,0.09280924
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
gene_symbol,Mov10
