analysis_id,guq7u0262622yp4
parameter_name,Startle response
mouse_strain,C55BL
gene_symbol,Hspa5
gene_accession_id,MGI:95835
pvalue,0.09517356
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
