gene_symbol,Fpgs
mouse_life_stage,Early adult
pvalue,0.8365285
mouse_strain,C57BL
gene_accession_id,MGI:95576
parameter_id,IMPC_IMM_034_001
analysis_id,750e8v9jnvtlpzb
parameter_name,CD8 CD44-CD62L+ T cells
