parameter_name,Lower teeth appearance
gene_accession_id,MGI:1913483
mouse_strain,C57BL
analysis_id,32x8g8tz45ej67k
parameter_id,IMPC_CSD_070_001
gene_symbol,Dmap1
pvalue,0.5873153
mouse_life_stage,E12.5
