analysis_id,kmb129zr0fdkxo7
gene_symbol,Rab22a
pvalue,0.2168648
gene_accession_id,MGI:105072
mouse_strain,C57BL
parameter_id,IMPC_IMM_069_001
parameter_name,Transitional B Cells (CD21/35 low)
mouse_life_stage,Early adult
