analysis_id,s437ey2s5e17169
mouse_life_stage,Early adult
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_name,Chloride
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
pvalue,0.3250246
