parameter_name,Periphery resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tnni1
analysis_id,gl2f734584146b7
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:105073
pvalue,0.1267771
