analysis_id,d6815ulp5fr1mac
mouse_strain,C57BL
parameter_id,TCPLA_GRS_011_001
pvalue,0.241268
gene_symbol,Lpgat1
mouse_life_stage,E18.5
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:2446186
