gene_symbol,Toporsl
gene_accession_id,MGI:1915524
analysis_id,921ec4lk1z42q9m
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_028_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6406826
