parameter_name,Body weight
gene_accession_id,MGI:97054
gene_symbol,Mov10
analysis_id,j561o97r3g236b5
mouse_life_stage,Early adult
parameter_id,M-G-P_009_001_003
pvalue,0.5939654
mouse_strain,C57BL
