analysis_id,3ojbp90sb2tl074
pvalue,0.4694619
gene_symbol,Casq1
mouse_strain,C57BL
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
parameter_name,Light side time spent
parameter_id,JAX_LDT_002_001
