analysis_id,s1r42i7174ek206
mouse_strain,C57BL
gene_accession_id,MGI:1920344
parameter_name,B1B Cells
gene_symbol,Sgip1
mouse_life_stage,Early adult
pvalue,0.09378377
parameter_id,IMPC_IMM_064_001
