gene_symbol,Casq1
analysis_id,9w41ui3wp4ajo92
parameter_name,B cell number
parameter_id,MGP_PBI_034_001
pvalue,0.6495536
gene_accession_id,MGI:1309468
mouse_strain,C57BL
mouse_life_stage,Early adult
