analysis_id,906y3o1g8w2gmu5
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9840711
