analysis_id,m1zp4z64vv2ea6m
gene_accession_id,MGI:1931322
gene_symbol,Car13
parameter_id,MGP_IMM_125_001
parameter_name,Eosinophils - % of CD45+
mouse_life_stage,Early adult
pvalue,0.672602
mouse_strain,C57BL
