analysis_id,d408mjt3q9r8a37
pvalue,0.8074738
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
gene_symbol,Toporsl
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
