analysis_id,73876592hqf0yj7
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ufc1
parameter_id,IMPC_XRY_064_001
pvalue,0.4878384
parameter_name,Thoracic processes
gene_accession_id,MGI:1913405
