gene_symbol,Hpca
mouse_life_stage,Early adult
pvalue,0.6333602
analysis_id,ud7r18776262p42
parameter_id,JAXLA_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:1336200
mouse_strain,C57BL
