analysis_id,cql95682k77s6f0
mouse_strain,C57BL
parameter_id,IMPC_HEM_006_001
gene_accession_id,MGI:1914944
gene_symbol,Ift74
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
pvalue,0.4560167
