analysis_id,fsa4ml9zk822ur9
parameter_name,Lean/Body weight
mouse_strain,129SV
parameter_id,IMPC_DXA_008_001
gene_symbol,Ddx27
pvalue,0.4349008
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
