analysis_id,n0x9mkrsdiink51
parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.620682
gene_accession_id,MGI:1917604
parameter_name,Coat - color pattern - back
gene_symbol,Secisbp2l
