analysis_id,qr7to20c0nt9a36
mouse_strain,C57BL
gene_accession_id,MGI:3522699
parameter_id,HRWLLA_CSD_008_001
mouse_life_stage,Early adult
parameter_name,Coat - color pattern - back
gene_symbol,Trpa1
pvalue,0.8034066
