analysis_id,v4wt8231j3c932q
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
parameter_name,Average duration
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
pvalue,1.064084
