gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.8846834
mouse_strain,C57BL
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
parameter_id,JAX_OFD_012_001
analysis_id,ekbhny4o665p68h
