parameter_id,JAX_OFD_022_001
analysis_id,f808j1xh4rk85r7
mouse_strain,C57BL
gene_symbol,Ncaph
mouse_life_stage,Early adult
parameter_name,Percentage center time
gene_accession_id,MGI:2444777
pvalue,0.130456
