gene_symbol,Slx4ip
pvalue,0.3324561
mouse_life_stage,Early adult
parameter_name,Lens Opacity
mouse_strain,C57BL
gene_accession_id,MGI:1921493
parameter_id,UCDLA_EYE_017_001
analysis_id,u741n92vnv2l0l6
