analysis_id,34l72aa7nhsi712
gene_accession_id,MGI:95457
parameter_id,MGP_MLN_093_001
pvalue,0.6583693
gene_symbol,Mecom
mouse_life_stage,Early adult
mouse_strain,C3H
parameter_name,KLRG1+ NK cells - % of CD45+
