analysis_id,x1rz853dk48fs8n
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.153335
parameter_name,Distance travelled - total
gene_symbol,Cdin1
parameter_id,IMPC_OFD_020_001
