analysis_id,1b1kbs877x99nhd
mouse_strain,C57BL
gene_symbol,Kif24
parameter_name,Coat - hair texture / appearance - abdomen
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
pvalue,0.5394708
parameter_id,IMPC_CSD_016_001
