gene_symbol,Eprs1
gene_accession_id,MGI:97838
analysis_id,p6y42q1gvu3cn0q
mouse_life_stage,E12.5
parameter_id,MGP_IMM_017_001
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,C57BL
pvalue,0.586076
