gene_symbol,Fgb
parameter_id,IMPC_ACS_035_001
mouse_life_stage,E12.5
analysis_id,k7230x4ban85255
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:99501
pvalue,0.8711854
mouse_strain,C57BL
