analysis_id,9vq088zp35u337z
parameter_id,IMPC_HEM_002_001
gene_symbol,Slc30a4
parameter_name,Red blood cell count
gene_accession_id,MGI:1345282
pvalue,0.9173238
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
