gene_symbol,Bpifa3
parameter_name,Mean-cell-volume
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
analysis_id,mq1723774282yo3
mouse_strain,129SV
parameter_id,M-G-P_016_001_005
pvalue,0.5445162
