analysis_id,yie4likf6wu28us
mouse_strain,C57BL
parameter_name,Weight
gene_accession_id,MGI:894679
gene_symbol,Bach2
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
pvalue,0.4065148
