parameter_name,Light side time spent
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
pvalue,0.2828954
analysis_id,j229klb54eg9v80
mouse_life_stage,E18.5
gene_symbol,Zyg11b
