gene_symbol,Arnt
pvalue,0.776068
parameter_name,Total holepokes
gene_accession_id,MGI:88071
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_HBD_001_001
analysis_id,k7ggxa5e481xs3g
