mouse_strain,C3H
analysis_id,k702rz715009f33
gene_symbol,Mecom
parameter_id,MGP_MLN_013_001
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
pvalue,0.4392308
gene_accession_id,MGI:95457
