parameter_name,Cholesterol ratio
gene_accession_id,MGI:2385884
analysis_id,25o9483po2z76o7
gene_symbol,Ddx27
pvalue,1.078493
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
mouse_strain,C57BL
