analysis_id,84x0u9yf8erp8s1
parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
pvalue,0.3782795
gene_accession_id,MGI:1915472
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tubb4b
