parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:2448481
analysis_id,uq4b4974z4lj197
mouse_life_stage,Early adult
pvalue,0.1188843
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Mgst2
mouse_strain,C57BL
