analysis_id,zj908sxhvu8d879
pvalue,0.8994804
parameter_name,Periphery resting time
mouse_life_stage,Early adult
gene_symbol,Atg4c
mouse_strain,C57BL
gene_accession_id,MGI:2651854
parameter_id,HRWLLA_OFD_011_001
