analysis_id,sty30ww092f6539
gene_accession_id,MGI:1917810
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD103+ CD11b-low cDC - % of CD45+
gene_symbol,Wars2
parameter_id,MGP_IMM_131_001
pvalue,0.2450399
