analysis_id,h54r18q4227f4n0
mouse_life_stage,Early adult
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
gene_symbol,Ift74
parameter_name,B cell number
pvalue,0.2557452
gene_accession_id,MGI:1914944
