analysis_id,o9eh3vd2s38piq4
parameter_name,Basophil differential count
gene_accession_id,MGI:3588214
parameter_id,IMPC_HEM_038_001
gene_symbol,Rufy4
mouse_strain,C57BL
pvalue,0.1997319
mouse_life_stage,Early adult
