parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:1336200
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
analysis_id,cmirt5h791ac0yq
gene_symbol,Hpca
pvalue,0.2096413
