gene_symbol,Tiprl
mouse_strain,C57BL
gene_accession_id,MGI:1915087
analysis_id,wvp0qidg8cvl01x
parameter_name,Radius
mouse_life_stage,E9.5
pvalue,0.6654162
parameter_id,IMPC_XRY_022_001
