analysis_id,85266e8w8ix0d7i
gene_symbol,Dcaf12
mouse_strain,C57BL
pvalue,0.6853862
mouse_life_stage,Early adult
parameter_name,Eosinophils - % of CD45+
parameter_id,MGP_IMM_125_001
gene_accession_id,MGI:1916220
