analysis_id,twbemmzr08ab8to
parameter_id,IMPC_DXA_008_001
gene_symbol,Slc39a10
pvalue,0.1710378
parameter_name,Lean/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
