analysis_id,oo30705nys561q7
pvalue,0.5168524
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
gene_symbol,Lpgat1
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP3
