parameter_name,Total bilirubin
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
mouse_strain,C57BL
analysis_id,efyv54675y36r02
pvalue,0.5705923
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_008_001
