analysis_id,930pk0g28c105y9
parameter_name,Creatinine
gene_accession_id,MGI:1339969
gene_symbol,Gja10
parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7824754
