parameter_id,IMPC_ACS_033_001
analysis_id,4o3m141h35x01a6
mouse_strain,C57BL
pvalue,0.4858443
gene_accession_id,MGI:1913483
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,E9.5
gene_symbol,Dmap1
