parameter_id,HMGULA_DYS_024_001
gene_symbol,Hrnr
mouse_life_stage,Early adult
analysis_id,6nye7p1410r3vh2
pvalue,0.9639408
mouse_strain,C57BL
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:3046938
