gene_symbol,Atg4c
parameter_id,IMPC_CBC_014_001
pvalue,0.8306688
mouse_strain,C57BL
analysis_id,e8xtlx77x276si9
gene_accession_id,MGI:2651854
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
