analysis_id,c3995v93ah24pob
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
parameter_id,JAX_SLW_014_001
gene_symbol,AU040320
pvalue,0.9653102
parameter_name,Breath rate during sleep standard deviation
mouse_strain,C57BL
