mouse_strain,B6J
gene_accession_id,MGI:1346344
parameter_name,MZB (CD21/35 high)
analysis_id,14953uk8t745t12
mouse_life_stage,Early adult
gene_symbol,Nr0b2
parameter_id,IMPC_IMM_071_001
pvalue,0.05364353
