parameter_name,Time mobile dark side
analysis_id,m624177ey3fzs61
parameter_id,JAX_LDT_005_001
mouse_life_stage,E9.5
gene_symbol,Slc39a10
pvalue,0.3547196
gene_accession_id,MGI:1914515
mouse_strain,C57BL
