parameter_name,Total T cell percentage
mouse_strain,C57BL
gene_accession_id,MGI:2651854
analysis_id,34y44g9gm20ef31
pvalue,0.4431888
mouse_life_stage,Early adult
parameter_id,MGP_PBI_001_001
gene_symbol,Atg4c
