analysis_id,vdc8848766r4219
gene_accession_id,MGI:1914256
pvalue,0.458733
mouse_life_stage,Early adult
gene_symbol,Cisd2
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
parameter_name,Sacral processes
