analysis_id,jvew6784xi61570
gene_symbol,Col6a3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_003_001
gene_accession_id,MGI:88461
pvalue,0.8686432
parameter_name,Time mobile light side
